,Track ID,Genre,Listens,Artist Name,Location,Release Date
2,2,Hip-Hop,1293,AWOL,New Jersey,2009-01-05 00:00:00
3,3,Hip-Hop,514,AWOL,New Jersey,2009-01-05 00:00:00
4,5,Hip-Hop,1151,AWOL,New Jersey,2009-01-05 00:00:00
11,134,Hip-Hop,943,AWOL,New Jersey,2009-01-05 00:00:00
14,137,Experimental,1278,Airway,"Los Angeles, CA",2006-12-01 00:00:00
15,138,Experimental,489,Airway,"Los Angeles, CA",2006-12-01 00:00:00
16,139,Folk,582,Alec K. Redfearn & the Eyesores,"Providence, RI",2009-01-16 00:00:00
17,140,Folk,1299,Alec K. Redfearn & the Eyesores,"Providence, RI",2007-05-22 00:00:00
18,141,Folk,725,Alec K. Redfearn & the Eyesores,"Providence, RI",2009-01-16 00:00:00
19,142,Folk,848,Alec K. Redfearn & the Eyesores,"Providence, RI",2005-01-25 00:00:00
20,144,Jazz,1143,Amoebic Ensemble,"Providence, RI",2009-01-06 00:00:00
21,145,Jazz,883,Amoebic Ensemble,"Providence, RI",2009-01-06 00:00:00
22,146,Jazz,690,Amoebic Ensemble,"Providence, RI",1995-01-01 00:00:00
23,147,Jazz,766,Amoebic Ensemble,"Providence, RI",1995-01-01 00:00:00
24,148,Experimental,1831,Contradiction,"Chicago, IL",2009-01-15 00:00:00
25,149,Experimental,453,Andy Hayleck,"Baltimore, MD",2009-01-09 00:00:00
26,150,Experimental,407,Andy Hayleck,"Baltimore, MD",2009-01-09 00:00:00
27,151,Rock,148,Animal Writes,"Portland, OR",2009-01-06 00:00:00
28,152,Rock,98,Animal Writes,"Portland, OR",2009-01-06 00:00:00
29,153,Rock,424,Arc and Sender,"Philadelphia, PA",2005-06-07 00:00:00
30,154,Rock,205,Arc and Sender,"Philadelphia, PA",2005-06-07 00:00:00
31,155,Rock,197,Arc and Sender,"Philadelphia, PA",2009-01-06 00:00:00
32,156,Experimental,362,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
33,157,Experimental,190,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
34,158,Experimental,163,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
35,159,Experimental,130,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
36,160,Experimental,110,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
37,161,Experimental,121,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
38,162,Experimental,109,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
39,163,Experimental,94,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
40,164,Experimental,70,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
41,165,Experimental,140,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
42,166,Experimental,180,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
43,167,Experimental,80,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
44,168,Experimental,100,Area C,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01 00:00:00
45,169,Rock,270,Argumentix,"Portland, OR",2008-06-23 00:00:00
46,170,Rock,122,Argumentix,"Portland, OR",2007-01-01 00:00:00
47,171,Rock,242,Argumentix,"Portland, OR",2009-01-06 00:00:00
48,172,Rock,90,Argumentix,"Portland, OR",2009-01-06 00:00:00
49,173,Rock,177,Argumentix,"Portland, OR",2008-06-23 00:00:00
50,174,Rock,116,Argumentix,"Portland, OR",2008-06-23 00:00:00
51,175,Rock,72,Argumentix,"Portland, OR",2007-01-01 00:00:00
52,176,Rock,104,Argumentix,"Portland, OR",2009-01-06 00:00:00
53,177,Rock,160,Argumentix,"Portland, OR",2008-06-23 00:00:00
54,178,Rock,149,Argumentix,"Portland, OR",2009-01-06 00:00:00
55,179,Rock,226,Argumentix,"Portland, OR",2009-01-06 00:00:00
61,188,Folk,1253,Ed Askew,"New York, NY",2009-01-07 00:00:00
62,189,Folk,101,Ed Askew,"New York, NY",2009-01-07 00:00:00
63,190,Folk,945,Ed Askew,"New York, NY",2009-01-07 00:00:00
64,191,Folk,64,Ed Askew,"New York, NY",2009-01-07 00:00:00
65,192,Folk,125,Ed Askew,"New York, NY",2009-01-07 00:00:00
66,193,Folk,824,Ed Askew,"New York, NY",2009-01-07 00:00:00
67,194,Folk,754,Ed Askew,"New York, NY",2009-01-07 00:00:00
68,195,Folk,138,Ed Askew,"New York, NY",2009-01-07 00:00:00
69,196,Folk,75,Ed Askew,"New York, NY",2009-01-07 00:00:00
70,197,Folk,833,Ed Askew,"New York, NY",2009-01-07 00:00:00
71,198,Folk,451,Ed Askew,"New York, NY",2009-01-07 00:00:00
72,199,Folk,38,Ed Askew,"New York, NY",2009-01-07 00:00:00
73,200,Folk,772,Ed Askew,"New York, NY",2009-01-07 00:00:00
74,201,Folk,150,Ed Askew,"New York, NY",2009-01-07 00:00:00
75,202,Folk,46,Ed Askew,"New York, NY",2009-01-07 00:00:00
76,203,Folk,603,Ed Askew,"New York, NY",2009-01-07 00:00:00
77,204,Folk,688,Ed Askew,"New York, NY",2009-01-07 00:00:00
78,205,Folk,69,Ed Askew,"New York, NY",2009-01-07 00:00:00
79,206,Folk,87,Ed Askew,"New York, NY",2009-01-07 00:00:00
80,207,Folk,609,Ed Askew,"New York, NY",2009-01-07 00:00:00
81,208,Folk,397,Ed Askew,"New York, NY",2009-01-07 00:00:00
82,209,Folk,351,Ed Askew,"New York, NY",2009-01-07 00:00:00
83,210,Folk,1824,Ed Askew,"New York, NY",2009-01-07 00:00:00
84,211,Folk,1714,Ed Askew,"New York, NY",2009-01-07 00:00:00
85,212,Folk,551,Ed Askew,"New York, NY",2009-01-07 00:00:00
86,213,Pop,1148,Au,"Portland, OR",2007-07-05 00:00:00
87,226,Rock,1351,Bad News Bats,"Philadelphia, PA",2006-01-01 00:00:00
88,228,Rock,1366,Bad News Bats,"Philadelphia, PA",2006-01-01 00:00:00
90,237,Jazz,1276,Barnacled,"Providence, RI",2003-01-11 00:00:00
91,238,Jazz,1277,Barnacled,"Providence, RI",2003-01-11 00:00:00
102,256,Rock,2311,Black Elk,"Portland, OR",2009-01-08 00:00:00
103,257,Rock,766,Black Elk,"Portland, OR",2009-01-08 00:00:00
104,258,Rock,1350,Black Elk,"Portland, OR",2009-01-08 00:00:00
105,273,Experimental,193,Black Pus,"Providence, RI",2005-01-01 00:00:00
106,274,Experimental,593,Black Pus,"Providence, RI",2008-03-01 00:00:00
107,275,Experimental,247,Black Pus,"Providence, RI",2006-06-01 00:00:00
108,276,Experimental,129,Black Pus,"Providence, RI",2006-01-01 00:00:00
109,277,Experimental,233,Black Pus,"Providence, RI",2006-06-01 00:00:00
110,281,Experimental,2114,Black Pus,"Providence, RI",2008-03-01 00:00:00
111,282,Experimental,126,Black Pus,"Providence, RI",2006-01-01 00:00:00
112,284,Experimental,136,Black Pus,"Providence, RI",2005-01-01 00:00:00
113,285,Experimental,324,Black Pus,"Providence, RI",2006-06-01 00:00:00
114,293,Experimental,167,Black Pus,"Providence, RI",2005-01-01 00:00:00
115,294,Experimental,169,Black Pus,"Providence, RI",2006-01-01 00:00:00
116,297,Experimental,330,Black Pus,"Providence, RI",2008-03-01 00:00:00
117,300,Experimental,276,Black Pus,"Providence, RI",2005-01-01 00:00:00
118,303,Rock,89,Blah Blah Blah,Colchester UK,2007-09-01 00:00:00
119,304,Rock,167,Blah Blah Blah,Colchester UK,1982-04-06 00:00:00
120,305,Rock,2605,Blah Blah Blah,Colchester UK,1981-01-01 00:00:00
121,306,Rock,50,Blah Blah Blah,Colchester UK,2007-09-01 00:00:00
122,307,Rock,190,Blah Blah Blah,Colchester UK,2007-09-01 00:00:00
123,308,Rock,260,Blah Blah Blah,Colchester UK,1982-04-06 00:00:00
124,309,Rock,56,Blah Blah Blah,Colchester UK,2007-09-01 00:00:00
125,310,Rock,109,Blah Blah Blah,Colchester UK,1981-01-01 00:00:00
126,311,Rock,1484,Blah Blah Blah,Colchester UK,1982-04-06 00:00:00
